Product,Revenue,Revenue_MAN,Revenue_WOMAN,Items_sold,Items_sold_MAN,Items_sold_WOMAN,Number_of_fragrancies,Fragrancies_MAN,Fragrancies_WOMAN,Tital_items,Items_MAN,Items_WOMAN
"JAGUAR by Jaguar for Men Green Cologne 34 oz Spray edt New in Box",41655,41655,0,2777,2777,0,1,1,0,1,1,0
"Versace Dylan Turquoise by Gianni Versace 34 oz EDT Perfume for Women NiB",41301,0,41301,1059,0,1059,1,0,1,1,0,1
"Armaf club de nuit UNTOLD 105ml36oz Eau de Parfum Unisex Spray  New  Sealed",41065,41065,0,955,955,0,1,1,0,1,1,0
"Versace Pour Femme Dylan Blue 34 oz EDP Perfume for Women New In Box",40810,0,40810,742,0,742,1,0,1,1,0,1
"CHROME LEGEND by Azzaro cologne for men EDT 42 oz New in Box",40584,40584,0,1691,1691,0,1,1,0,1,1,0
"360 PURPLE Perry Ellis Women 34 oz 33 edp perfume spray NEW IN BOX",40400,0,40400,1616,0,1616,1,0,1,1,0,1
"THE BARON by BARON 45 oz EDC For Men New in Box",40124,40124,0,1433,1433,0,1,1,0,1,1,0
"Sweet Like Candy by Ariana Grande EDP Perfume for Women 34 oz Brand New Tester",39788,0,39788,1372,0,1372,1,0,1,1,0,1
"TESTER SUNG  Alfred Sung  Perfume for Women  34 oz  BRAND NEW",39552,0,39552,2472,0,2472,1,0,1,1,0,1
"Emporio Armani Stronger With You Intensely 33oz EDP Spray for Men in Sealed Box",39480,39480,0,420,420,0,1,1,0,1,1,0
"Armaf Club De Nuit Intense 507oz  150ml Pure Parfum  Brand New  Sealed",39200,39200,0,700,700,0,1,1,0,1,1,0
"SALVATORE FERRAGAMO POUR FEMME edp Perfume for women 34  33 oz New in Box",39063,0,39063,1347,0,1347,1,0,1,1,0,1
"INCANTO CHARMS by Salvatore Ferragamo EDT 34 oz Perfume for women New in Box",38594,0,38594,1678,0,1678,1,0,1,1,0,1
"360 White by Perry Ellis 34 oz edt 33 Spray for Men New in BOX",38451,38451,0,1831,1831,0,1,1,0,1,1,0
